Associated Gene Name	Gene Start (bp)	Gene End (bp)	MIM Morbid Accession	MIM Morbid Description	Ensembl Gene ID	Description	Gene type
REV3L-IT1	111681844	111682810			ENSG00000229276	REV3L intronic transcript 1 (non-protein coding) [Source:HGNC Symbol;Acc:41377]	sense_intronic
RP11-428J1.4	5031990	5054657			ENSG00000271978		lincRNA
BRD7P4	111751463	111752984			ENSG00000218676	bromodomain containing 7 pseudogene 4 [Source:HGNC Symbol;Acc:37630]	pseudogene
RMRPP2	5045818	5046335			ENSG00000252419	RNA component of mitochondrial RNA processing endoribonuclease pseudogene 2 [Source:HGNC Symbol;Acc:47032]	misc_RNA
RP11-530A18.1	5066029	5067216			ENSG00000220685		pseudogene
MIR3691	5148467	5148556			ENSG00000265083	microRNA 3691 [Source:HGNC Symbol;Acc:38909]	miRNA
TRAF3IP2-AS1	111804714	111919505			ENSG00000231889	TRAF3IP2 antisense RNA 1 [Source:HGNC Symbol;Acc:40005]	antisense
AL162381.1	5224961	5225030			ENSG00000264541		miRNA
RP3-520B18.1	5291263	5291621			ENSG00000220446		pseudogene
RP1-232P20.1	5451916	5458308			ENSG00000269985		antisense
TREML3P	41176292	41190382			ENSG00000184106	triggering receptor expressed on myeloid cells-like 3, pseudogene [Source:HGNC Symbol;Acc:30806]	pseudogene
PCMT1	150070579	150132556			ENSG00000120265	protein-L-isoaspartate (D-aspartate) O-methyltransferase [Source:HGNC Symbol;Acc:8728]	protein_coding
PNISR	99845927	99873207			ENSG00000132424	PNN-interacting serine/arginine-rich protein [Source:HGNC Symbol;Acc:21222]	protein_coding
HNRNPA1P37	5609460	5610428			ENSG00000218574	heterogeneous nuclear ribonucleoprotein A1 pseudogene 37 [Source:HGNC Symbol;Acc:48766]	pseudogene
RNA5SP207	41207258	41207364			ENSG00000212176	RNA, 5S ribosomal pseudogene 207 [Source:HGNC Symbol;Acc:43107]	rRNA
TREML5P	41215107	41217387			ENSG00000225690	triggering receptor expressed on myeloid cells-like 5, pseudogene [Source:HGNC Symbol;Acc:30808]	pseudogene
RP1-229K20.5	41237613	41237977			ENSG00000218809		pseudogene
RNU6-643P	41270204	41270310			ENSG00000206745	RNA, U6 small nuclear 643, pseudogene [Source:HGNC Symbol;Acc:47606]	snRNA
RP13-235E23.1	41275904	41276303			ENSG00000213461		pseudogene
RP1-256G22.2	5665218	5695505			ENSG00000270174		antisense
AL136967.1	41323187	41323246			ENSG00000238867		miRNA
RP3-415N12.1	111816194	111816916			ENSG00000220506		pseudogene
RP1-182O16.1	5788579	5788932			ENSG00000217239		pseudogene
RP11-328M4.2	41462591	41516359			ENSG00000234753		antisense
C6orf3	111921078	111923498			ENSG00000255389		antisense
RP1-182O16.2	5817654	5818599			ENSG00000216360		pseudogene
snoU13	111967530	111967630			ENSG00000239015	Small nucleolar RNA U13 [Source:RFAM;Acc:RF01210]	snoRNA
RP1-97J1.2	112221692	112223054			ENSG00000227012		lincRNA
RP3-380B8.4	5851739	5870453			ENSG00000233064		lincRNA
RP1-142L7.5	112475967	112487670			ENSG00000237234		antisense
RN7SL221P	5918793	5919077			ENSG00000239472	RNA, 7SL, cytoplasmic 221, pseudogene [Source:HGNC Symbol;Acc:46237]	misc_RNA
BTN2A2	26383324	26395102			ENSG00000124508	butyrophilin, subfamily 2, member A2 [Source:HGNC Symbol;Acc:1137]	protein_coding
RNU6-1226P	112517642	112517748			ENSG00000207044	RNA, U6 small nuclear 1226, pseudogene [Source:HGNC Symbol;Acc:48189]	snRNA
PKMP5	5972645	5974245			ENSG00000215057	pyruvate kinase, muscle pseudogene 5 [Source:HGNC Symbol;Acc:44247]	pseudogene
RP1-142L7.9	112538841	112540771			ENSG00000270661		lincRNA
RP11-328M4.3	41470182	41487590			ENSG00000226917		lincRNA
RP1-142L7.8	112555366	112555959			ENSG00000271208		lincRNA
MIR4641	41566461	41566526			ENSG00000266494	microRNA 4641 [Source:HGNC Symbol;Acc:41835]	miRNA
NPM1P51	41634644	41635387			ENSG00000230913	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 51 [Source:HGNC Symbol;Acc:45230]	pseudogene
RP11-506B6.6	112557294	112671296			ENSG00000226440		antisense
C6orf62	24705089	24721064			ENSG00000112308	chromosome 6 open reading frame 62 [Source:HGNC Symbol;Acc:20998]	protein_coding
AL157775.1	6046676	6046777			ENSG00000264121		miRNA
MIR5683	6169567	6169642			ENSG00000263572	microRNA 5683 [Source:HGNC Symbol;Acc:43453]	miRNA
LY86-AS1	6346698	6623004			ENSG00000216863	LY86 antisense RNA 1 [Source:HGNC Symbol;Acc:26593]	antisense
RP11-506B6.5	112646955	112647951			ENSG00000216663		pseudogene
RP11-298J23.5	41688134	41701770			ENSG00000231102		antisense
RP11-298J23.8	41732030	41732198			ENSG00000269387		lincRNA
RP11-506B6.3	112677043	112677916			ENSG00000219773		pseudogene
RP11-298J23.9	41759148	41759215			ENSG00000268745		antisense
SNORA8	41800592	41800731			ENSG00000206977	Small nucleolar RNA SNORA8 [Source:RFAM;Acc:RF00393]	snoRNA
RP5-973N23.4	41836360	41837469			ENSG00000227516		lincRNA
KRT18P65	112682639	112684039			ENSG00000215807	keratin 18 pseudogene 65 [Source:HGNC Symbol;Acc:48892]	pseudogene
Y_RNA	41885154	41885264			ENSG00000207371	Y RNA [Source:RFAM;Acc:RF00019]	misc_RNA
RNU6-761P	41986146	41986252			ENSG00000206875	RNA, U6 small nuclear 761, pseudogene [Source:HGNC Symbol;Acc:47724]	snRNA
AL365214.1	112683050	112683141			ENSG00000266485		miRNA
RP11-533O20.2	41997791	41999120			ENSG00000223946		lincRNA
FEM1AP3	112686906	112688646			ENSG00000217770	fem-1 homolog a (C. elegans) pseudogene 3 [Source:HGNC Symbol;Acc:39831]	pseudogene
RP11-7K24.3	42059976	42061997			ENSG00000261068		lincRNA
U3	42379938	42380134			ENSG00000221252	Small nucleolar RNA U3 [Source:RFAM;Acc:RF00012]	snoRNA
RP11-256G5.1	42467448	42467760			ENSG00000237107		pseudogene
snoU13	42473238	42473344			ENSG00000238611	Small nucleolar RNA U13 [Source:RFAM;Acc:RF01210]	snoRNA
RP1-105O18.1	112797740	112802838			ENSG00000232299		lincRNA
RNU6-890P	42631900	42632006			ENSG00000206848	RNA, U6 small nuclear 890, pseudogene [Source:HGNC Symbol;Acc:47853]	snRNA
snoU13	112797928	112798029			ENSG00000239095	Small nucleolar RNA U13 [Source:RFAM;Acc:RF01210]	snoRNA
ATP6V0CP3	42694972	42695438			ENSG00000213435	ATPase, H+ transporting, lysosomal 16kDa, V0 subunit c pseudogene 3 [Source:HGNC Symbol;Acc:40001]	pseudogene
AL357514.1	112853384	112853487			ENSG00000252215		miRNA
RP1-159M24.1	112937905	112939082			ENSG00000225580		pseudogene
SNAPC5P1	6347314	6347614			ENSG00000241216	small nuclear RNA activating complex, polypeptide 5, 19kDa pseudogene 1 [Source:HGNC Symbol;Acc:38667]	pseudogene
RP11-505K1.1	113147141	113147672			ENSG00000271498		pseudogene
CNN3P1	6534930	6535864			ENSG00000218868	calponin 3, acidic pseudogene 1 [Source:HGNC Symbol;Acc:38666]	pseudogene
RP3-475N16.1	42908102	42916098			ENSG00000231113		antisense
RNU6-1163P	113292695	113292801			ENSG00000201386	RNA, U6 small nuclear 1163, pseudogene [Source:HGNC Symbol;Acc:48126]	snRNA
FCF1P10	113332139	113332617			ENSG00000218490	FCF1 pseudogene 10 [Source:HGNC Symbol;Acc:44622]	pseudogene
RP1-80N2.3	6680542	6683866			ENSG00000261211		lincRNA
RP1-80N2.2	6692977	6711235			ENSG00000226281		lincRNA
RPL24P4	42924083	42924503			ENSG00000181524	ribosomal protein L24 pseudogene 4 [Source:HGNC Symbol;Acc:21371]	pseudogene
SOCS5P5	113543368	113545274			ENSG00000216904	suppressor of cytokine signaling 5 pseudogene 5 [Source:HGNC Symbol;Acc:44601]	pseudogene
RP3-470L22.1	6758509	6759524			ENSG00000224532		lincRNA
RP1-20C7.6	43001635	43002143			ENSG00000272223		antisense
BTF3P7	6795148	6795635			ENSG00000219986	basic transcription factor 3 pseudogene 7 [Source:HGNC Symbol;Acc:38569]	pseudogene
RP11-437J19.1	113678205	113689146			ENSG00000223811		lincRNA
RN7SL403P	43003936	43004238			ENSG00000240625	RNA, 7SL, cytoplasmic 403, pseudogene [Source:HGNC Symbol;Acc:46419]	misc_RNA
RP1-124C6.1	113749742	113754623			ENSG00000232316		lincRNA
KIF6	39297766	39693181			ENSG00000164627	kinesin family member 6 [Source:HGNC Symbol;Acc:21202]	protein_coding
RP11-387M24.5	43042069	43042477			ENSG00000272170		antisense
RP3-429O6.1	6901255	6918948			ENSG00000223342		lincRNA
RN7SL554P	6938835	6939130			ENSG00000240936	RNA, 7SL, cytoplasmic 554, pseudogene [Source:HGNC Symbol;Acc:46570]	misc_RNA
AL513123.1	113836189	113836285			ENSG00000222677		miRNA
RP3-330M21.5	43181539	43191598			ENSG00000245261		antisense
RP11-346D19.1	113852320	113864995			ENSG00000236347		lincRNA
RP11-556O15.1	6993424	6995787			ENSG00000203498		lincRNA
RP11-480N24.3	43277969	43278095			ENSG00000219222		pseudogene
snoU13	7040693	7040779			ENSG00000251762	Small nucleolar RNA U13 [Source:RFAM;Acc:RF01210]	snoRNA
RP11-367G18.2	113902703	113903149			ENSG00000218208		pseudogene
RP11-405O10.2	7183316	7185520			ENSG00000225092		sense_intronic
Y_RNA	7187815	7187919			ENSG00000201483	Y RNA [Source:RFAM;Acc:RF00019]	misc_RNA
RP11-480N24.4	43295872	43296214			ENSG00000220614		pseudogene
RP11-69L16.4	7276264	7299105			ENSG00000238221		antisense
AL357519.2	113924117	113924227			ENSG00000266650		miRNA
RP11-69L16.3	7331519	7331909			ENSG00000219375		pseudogene
RP11-367G18.1	113944737	113971276			ENSG00000230943		lincRNA
RPS2P28	43331217	43331957			ENSG00000179157	ribosomal protein S2 pseudogene 28 [Source:HGNC Symbol;Acc:35780]	pseudogene
RP11-69L16.5	7339072	7339801			ENSG00000220472		pseudogene
AL357519.1	114026035	114026125			ENSG00000221559		miRNA
RP11-213N20.1	43331958	43332032			ENSG00000226558		pseudogene
RP11-69L16.6	7341087	7342289			ENSG00000230570		pseudogene
U3	114102518	114102667			ENSG00000253091	Small nucleolar RNA U3 [Source:RFAM;Acc:RF00012]	snoRNA
RNU6-1113P	43441924	43442030			ENSG00000207076	RNA, U6 small nuclear 1113, pseudogene [Source:HGNC Symbol;Acc:48076]	snRNA
DEFB113	49936390	49937338			ENSG00000214642	defensin, beta 113 [Source:HGNC Symbol;Acc:18094]	protein_coding
RP1-249H1.2	114113032	114158556			ENSG00000231912		lincRNA
RP3-337H4.9	43486918	43487462			ENSG00000271754		antisense
HNRNPLP1	7481327	7482827			ENSG00000233503	heterogeneous nuclear ribonucleoprotein L pseudogene 1 [Source:HGNC Symbol;Acc:48748]	pseudogene
RP3-337H4.6	43506559	43507440			ENSG00000219470		pseudogene
RP1-249H1.3	114160463	114160808			ENSG00000219758		pseudogene
RP11-288G3.3	7506436	7506782			ENSG00000219993		pseudogene
SCARNA15	43511881	43512007			ENSG00000252218	Small Cajal body specific RNA 15 [Source:RFAM;Acc:RF00426]	snoRNA
RP3-337H4.10	43529609	43530156			ENSG00000271970		antisense
snoU13	114162001	114162089			ENSG00000238563	Small nucleolar RNA U13 [Source:RFAM;Acc:RF01210]	snoRNA
RP11-288G3.4	7516833	7518073			ENSG00000234115		pseudogene
RP1-249H1.4	114189178	114194516			ENSG00000227502		lincRNA
RP3-337H4.8	43555967	43559099			ENSG00000203362		antisense
TIAM2	155153831	155578857			ENSG00000146426	T-cell lymphoma invasion and metastasis 2 [Source:HGNC Symbol;Acc:11806]	protein_coding
DEFB110	49976851	49989694			ENSG00000203970	defensin, beta 110 locus [Source:HGNC Symbol;Acc:18091]	protein_coding
RP3-512B11.3	7540684	7541571			ENSG00000261189		antisense
RP1-261G23.4	43673686	43674488			ENSG00000218107		pseudogene
RP11-544L8__B.4	114225302	114242806			ENSG00000175967		antisense
RP1-261G23.5	43690523	43705571			ENSG00000236961		lincRNA
RP3-336K20__B.2	7620655	7621111			ENSG00000236512		pseudogene
RP1-261G23.7	43738166	43738353			ENSG00000272114		antisense
RP11-344J7.2	43819494	43820070			ENSG00000223469		lincRNA
RP1-303A1.1	7938663	7939555			ENSG00000217746		pseudogene
RP5-1120P11.1	43963460	44042389			ENSG00000237686		antisense
C6orf222	36283534	36304662			ENSG00000189325	chromosome 6 open reading frame 222 [Source:HGNC Symbol;Acc:33769]	protein_coding
PIP5K1P1	7986730	7988425			ENSG00000219294	phosphatidylinositol-4-phosphate 5-kinase, type I, pseudogene 1 [Source:HGNC Symbol;Acc:28372]	pseudogene
RP11-203H2.1	8329888	8342688			ENSG00000232234		lincRNA
AL109615.1	43980738	43980838			ENSG00000265518		miRNA
RP5-1120P11.3	44041650	44045689			ENSG00000231881		lincRNA
RP3-399L15.3	114290865	114792869			ENSG00000228624		antisense
RP11-203H2.2	8342170	8343254			ENSG00000234763		lincRNA
RP5-1120P11.4	44056979	44057433			ENSG00000183239		pseudogene
RP1-302G2.5	44184676	44185973			ENSG00000262179		lincRNA
HULC	8652370	8654079			ENSG00000251164	hepatocellular carcinoma up-regulated long non-coding RNA [Source:HGNC Symbol;Acc:34232]	lincRNA
RP11-314C16.1	8784411	8785678			ENSG00000230939		lincRNA
MIR4647	44221943	44222022			ENSG00000265700	microRNA 4647 [Source:HGNC Symbol;Acc:41594]	miRNA
MIR4642	44403378	44403459			ENSG00000266619	microRNA 4642 [Source:HGNC Symbol;Acc:41865]	miRNA
RP11-354I10.1	9124454	9162010			ENSG00000225775		lincRNA
RP3-449H6.1	44492996	44494491			ENSG00000237530		lincRNA
NUDT19P4	44866448	44867032			ENSG00000270900	nudix (nucleoside diphosphate linked moiety X)-type motif 19 pseudogene 4 [Source:HGNC Symbol;Acc:43588]	pseudogene
RP3-486D24.1	10118685	10119486			ENSG00000216368		pseudogene
RP11-491H9.3	45126607	45127248			ENSG00000219384		pseudogene
MIR586	45165411	45165507			ENSG00000207769	microRNA 586 [Source:HGNC Symbol;Acc:32842]	miRNA
DEFB112	50011288	50016364			ENSG00000180872	defensin, beta 112 [Source:HGNC Symbol;Acc:18093]	protein_coding
RP11-339A7.1	10214114	10214595			ENSG00000229765		pseudogene
RP1-244F24.1	45388816	45389742			ENSG00000271857		antisense
RP1-166H4.2	45541083	45544507			ENSG00000261080		lincRNA
RNU6-515P	45613841	45613912			ENSG00000252738	RNA, U6 small nuclear 515, pseudogene [Source:HGNC Symbol;Acc:47478]	snRNA
RNU6ATAC21P	10222269	10222394			ENSG00000221583	RNA, U6atac small nuclear 21, pseudogene [Source:HGNC Symbol;Acc:46920]	snRNA
RNU6-754P	45986482	45986588			ENSG00000212468	RNA, U6 small nuclear 754, pseudogene [Source:HGNC Symbol;Acc:47717]	snRNA
IFNGR1	137518621	137540586	600263	 HELICOBACTER PYLORI INFECTION, SUSCEPTIBILITY TO	ENSG00000027697	interferon gamma receptor 1 [Source:HGNC Symbol;Acc:5439]	protein_coding
IFNGR1	137518621	137540586	209950	 ATYPICAL MYCOBACTERIOSIS, FAMILIAL	ENSG00000027697	interferon gamma receptor 1 [Source:HGNC Symbol;Acc:5439]	protein_coding
RP1-290I10.2	10365826	10366815			ENSG00000216781		pseudogene
RP1-8B1.4	46064830	46097443			ENSG00000231769		antisense
ACTG1P9	46172466	46175123			ENSG00000229349	actin, gamma 1 pseudogene 9 [Source:HGNC Symbol;Acc:154]	pseudogene
TFAP2D	50681541	50740701			ENSG00000008197	transcription factor AP-2 delta (activating enhancer binding protein 2 delta) [Source:HGNC Symbol;Acc:15581]	protein_coding
RP11-795J1.2	46406047	46406356			ENSG00000226541		pseudogene
TFAP2A-AS1	10409573	10416679			ENSG00000229950	TFAP2A antisense RNA 1 [Source:HGNC Symbol;Acc:40579]	antisense
RP11-795J1.1	46459789	46500495			ENSG00000236466		antisense
NUDT19P3	114340785	114341647			ENSG00000216723	nudix (nucleoside diphosphate linked moiety X)-type motif 19 pseudogene 3 [Source:HGNC Symbol;Acc:43587]	pseudogene
RPSAP43	114405332	114405956			ENSG00000216471	ribosomal protein SA pseudogene 43 [Source:HGNC Symbol;Acc:35501]	pseudogene
RP11-446F17.3	46638181	46655902			ENSG00000242973		antisense
RNA5SP213	114541845	114541950			ENSG00000212333	RNA, 5S ribosomal pseudogene 213 [Source:HGNC Symbol;Acc:43113]	rRNA
AL136446.1	114598549	114598642			ENSG00000221599		miRNA
RP1-290I10.3	10423373	10426409			ENSG00000228478		lincRNA
DNAJA1P4	114670647	114671812			ENSG00000218089	DnaJ (Hsp40) homolog, subfamily A, member 1 pseudogene 4 [Source:HGNC Symbol;Acc:39340]	pseudogene
LINC00518	10429488	10435107			ENSG00000183674	long intergenic non-protein coding RNA 518 [Source:HGNC Symbol;Acc:28626]	lincRNA
RP11-268F1.3	46726033	46728895			ENSG00000236164		lincRNA
RP3-399L15.1	114798514	114809916			ENSG00000232395		lincRNA
RP3-365O12.2	46871208	46876815			ENSG00000225730		antisense
RP3-399L15.2	114844615	114857039			ENSG00000226079		lincRNA
RP11-157D6.1	47336679	47336966			ENSG00000271328		pseudogene
RNU6-475P	115188037	115188140			ENSG00000251882	RNA, U6 small nuclear 475, pseudogene [Source:HGNC Symbol;Acc:47438]	snRNA
AL355353.1	47430587	47430652			ENSG00000266330		miRNA
RP11-126M14.1	115679662	115679916			ENSG00000219619		pseudogene
RP11-385F7.1	47444979	47445308			ENSG00000270761		lincRNA
Y_RNA	47456803	47456906			ENSG00000199762	Y RNA [Source:RFAM;Acc:RF00019]	misc_RNA
RP11-812I20.2	47530358	47530754			ENSG00000216813		pseudogene
RP11-282C5.1	115954706	115955355			ENSG00000228777		lincRNA
RP1-290I10.7	10434549	10457014			ENSG00000229401		lincRNA
TPI1P3	116359919	116360658			ENSG00000186743	triosephosphate isomerase 1 pseudogene 3 [Source:HGNC Symbol;Acc:38070]	pseudogene
MIR5689	10439950	10440027			ENSG00000263705	microRNA 5689 [Source:HGNC Symbol;Acc:43479]	miRNA
RN7SKP116	47683019	47683337			ENSG00000252711	RNA, 7SK small nuclear pseudogene 116 [Source:HGNC Symbol;Acc:45840]	misc_RNA
MRPL48P1	10460139	10460774			ENSG00000238076	mitochondrial ribosomal protein L48 pseudogene 1 [Source:HGNC Symbol;Acc:21379]	pseudogene
RP11-550C4.6	47697563	47708477			ENSG00000226594		lincRNA
RP11-550C4.4	47720564	47720976			ENSG00000216616		pseudogene
RP1-290I10.5	10474733	10478735			ENSG00000231056		lincRNA
RP11-360O19.4	10511269	10514779			ENSG00000237685		antisense
NIP7P3	116458221	116458735			ENSG00000218428	NIP7, nucleolar pre-rRNA processing protein pseudogene 3 [Source:HGNC Symbol;Acc:45182]	pseudogene
RAB32	146864829	146876101			ENSG00000118508	RAB32, member RAS oncogene family [Source:HGNC Symbol;Acc:9772]	protein_coding
RP11-360O19.1	10514515	10515206			ENSG00000216359		pseudogene
RP3-486I3.5	116565350	116565891			ENSG00000236326		antisense
RP3-486I3.7	116575370	116577906			ENSG00000237021		lincRNA
RP11-360O19.5	10574982	10575460			ENSG00000217181		pseudogene
RP3-486I3.4	116579656	116580278			ENSG00000233558		pseudogene
Y_RNA	10674891	10675001			ENSG00000201048	Y RNA [Source:RFAM;Acc:RF00019]	misc_RNA
RNU1-105P	47791126	47791286			ENSG00000200340	RNA, U1 small nuclear 105, pseudogene [Source:HGNC Symbol;Acc:48447]	snRNA
RP11-421M1.8	10743557	10747896			ENSG00000272097		lincRNA
HNRNPA3P4	48116939	48117741			ENSG00000226068	heterogeneous nuclear ribonucleoprotein A3 pseudogene 4 [Source:HGNC Symbol;Acc:39773]	pseudogene
RP1-93H18.1	116601362	116691436			ENSG00000240050		lincRNA
RNA5SP203	10753024	10753159			ENSG00000222383	RNA, 5S ribosomal pseudogene 203 [Source:HGNC Symbol;Acc:43103]	rRNA
RP11-637O19.2	10882013	10884582			ENSG00000235051		antisense
ELOVL2-AS1	11043757	11078459			ENSG00000230314	ELOVL2 antisense RNA 1 [Source:HGNC Symbol;Acc:44156]	antisense
RP1-93H18.7	116765323	116766023			ENSG00000272403		lincRNA
RBMXP1	48181340	48182530			ENSG00000216835	RNA binding motif protein, X-linked pseudogene 1 [Source:HGNC Symbol;Acc:9911]	pseudogene
CBX3P9	116774177	116774728			ENSG00000217241	chromobox homolog 3 pseudogene 9 [Source:HGNC Symbol;Acc:42881]	pseudogene
