Associated Gene Name	Gene Start (bp)	Gene End (bp)	MIM Morbid Description	MIM Morbid Accession	Ensembl Gene ID
SOCS5P5	113543368	113545274			ENSG00000216904
RP3-470L22.1	6758509	6759524			ENSG00000224532
RP1-20C7.6	43001635	43002143			ENSG00000272223
BTF3P7	6795148	6795635			ENSG00000219986
RP11-437J19.1	113678205	113689146			ENSG00000223811
RN7SL403P	43003936	43004238			ENSG00000240625
RP1-124C6.1	113749742	113754623			ENSG00000232316
KIF6	39297766	39693181			ENSG00000164627
RP11-387M24.5	43042069	43042477			ENSG00000272170
RP3-429O6.1	6901255	6918948			ENSG00000223342
RN7SL554P	6938835	6939130			ENSG00000240936
AL513123.1	113836189	113836285			ENSG00000222677
RP3-330M21.5	43181539	43191598			ENSG00000245261
RP11-346D19.1	113852320	113864995			ENSG00000236347
RP11-556O15.1	6993424	6995787			ENSG00000203498
RP11-480N24.3	43277969	43278095			ENSG00000219222
snoU13	7040693	7040779			ENSG00000251762
RP11-367G18.2	113902703	113903149			ENSG00000218208
RP11-405O10.2	7183316	7185520			ENSG00000225092
Y_RNA	7187815	7187919			ENSG00000201483
RP11-480N24.4	43295872	43296214			ENSG00000220614
RP11-69L16.4	7276264	7299105			ENSG00000238221
AL357519.2	113924117	113924227			ENSG00000266650
RP11-69L16.3	7331519	7331909			ENSG00000219375
RP11-367G18.1	113944737	113971276			ENSG00000230943
RPS2P28	43331217	43331957			ENSG00000179157
RP11-69L16.5	7339072	7339801			ENSG00000220472
AL357519.1	114026035	114026125			ENSG00000221559
RP11-213N20.1	43331958	43332032			ENSG00000226558
RP11-69L16.6	7341087	7342289			ENSG00000230570
U3	114102518	114102667			ENSG00000253091
RNU6-1113P	43441924	43442030			ENSG00000207076
DEFB113	49936390	49937338			ENSG00000214642
RP1-249H1.2	114113032	114158556			ENSG00000231912
RP3-337H4.9	43486918	43487462			ENSG00000271754
HNRNPLP1	7481327	7482827			ENSG00000233503
RP3-337H4.6	43506559	43507440			ENSG00000219470
RP1-249H1.3	114160463	114160808			ENSG00000219758
RP11-288G3.3	7506436	7506782			ENSG00000219993
SCARNA15	43511881	43512007			ENSG00000252218
RP3-337H4.10	43529609	43530156			ENSG00000271970
snoU13	114162001	114162089			ENSG00000238563
RP11-288G3.4	7516833	7518073			ENSG00000234115
RP1-249H1.4	114189178	114194516			ENSG00000227502
RP3-337H4.8	43555967	43559099			ENSG00000203362
TIAM2	155153831	155578857			ENSG00000146426
DEFB110	49976851	49989694			ENSG00000203970
RP3-512B11.3	7540684	7541571			ENSG00000261189
RP1-261G23.4	43673686	43674488			ENSG00000218107
RP11-544L8__B.4	114225302	114242806			ENSG00000175967
RP1-261G23.5	43690523	43705571			ENSG00000236961
RP3-336K20__B.2	7620655	7621111			ENSG00000236512
RP1-261G23.7	43738166	43738353			ENSG00000272114
RP11-344J7.2	43819494	43820070			ENSG00000223469
RP1-303A1.1	7938663	7939555			ENSG00000217746
RP5-1120P11.1	43963460	44042389			ENSG00000237686
C6orf222	36283534	36304662			ENSG00000189325
PIP5K1P1	7986730	7988425			ENSG00000219294
RP11-203H2.1	8329888	8342688			ENSG00000232234
AL109615.1	43980738	43980838			ENSG00000265518
RP5-1120P11.3	44041650	44045689			ENSG00000231881
RP3-399L15.3	114290865	114792869			ENSG00000228624
RP11-203H2.2	8342170	8343254			ENSG00000234763
RP5-1120P11.4	44056979	44057433			ENSG00000183239
RP1-302G2.5	44184676	44185973			ENSG00000262179
HULC	8652370	8654079			ENSG00000251164
RP11-314C16.1	8784411	8785678			ENSG00000230939
MIR4647	44221943	44222022			ENSG00000265700
MIR4642	44403378	44403459			ENSG00000266619
RP11-354I10.1	9124454	9162010			ENSG00000225775
RP3-449H6.1	44492996	44494491			ENSG00000237530
NUDT19P4	44866448	44867032			ENSG00000270900
RP3-486D24.1	10118685	10119486			ENSG00000216368
RP11-491H9.3	45126607	45127248			ENSG00000219384
MIR586	45165411	45165507			ENSG00000207769
DEFB112	50011288	50016364			ENSG00000180872
RP11-339A7.1	10214114	10214595			ENSG00000229765
RP1-244F24.1	45388816	45389742			ENSG00000271857
RP1-166H4.2	45541083	45544507			ENSG00000261080
RNU6-515P	45613841	45613912			ENSG00000252738
RNU6ATAC21P	10222269	10222394			ENSG00000221583
RNU6-754P	45986482	45986588			ENSG00000212468
IFNGR1	137518621	137540586	 HELICOBACTER PYLORI INFECTION, SUSCEPTIBILITY TO	600263	ENSG00000027697
IFNGR1	137518621	137540586	 ATYPICAL MYCOBACTERIOSIS, FAMILIAL	209950	ENSG00000027697
RP1-290I10.2	10365826	10366815			ENSG00000216781
RP1-8B1.4	46064830	46097443			ENSG00000231769
ACTG1P9	46172466	46175123			ENSG00000229349
TFAP2D	50681541	50740701			ENSG00000008197
RP11-795J1.2	46406047	46406356			ENSG00000226541
TFAP2A-AS1	10409573	10416679			ENSG00000229950
RP11-795J1.1	46459789	46500495			ENSG00000236466
NUDT19P3	114340785	114341647			ENSG00000216723
RPSAP43	114405332	114405956			ENSG00000216471
RP11-446F17.3	46638181	46655902			ENSG00000242973
RNA5SP213	114541845	114541950			ENSG00000212333
AL136446.1	114598549	114598642			ENSG00000221599
RP1-290I10.3	10423373	10426409			ENSG00000228478
DNAJA1P4	114670647	114671812			ENSG00000218089
LINC00518	10429488	10435107			ENSG00000183674
RP11-268F1.3	46726033	46728895			ENSG00000236164
RP3-399L15.1	114798514	114809916			ENSG00000232395
RP3-365O12.2	46871208	46876815			ENSG00000225730
RP3-399L15.2	114844615	114857039			ENSG00000226079
RP11-157D6.1	47336679	47336966			ENSG00000271328
RNU6-475P	115188037	115188140			ENSG00000251882
AL355353.1	47430587	47430652			ENSG00000266330
RP11-126M14.1	115679662	115679916			ENSG00000219619
RP11-385F7.1	47444979	47445308			ENSG00000270761
Y_RNA	47456803	47456906			ENSG00000199762
RP11-812I20.2	47530358	47530754			ENSG00000216813
RP11-282C5.1	115954706	115955355			ENSG00000228777
RP1-290I10.7	10434549	10457014			ENSG00000229401
TPI1P3	116359919	116360658			ENSG00000186743
MIR5689	10439950	10440027			ENSG00000263705
RN7SKP116	47683019	47683337			ENSG00000252711
MRPL48P1	10460139	10460774			ENSG00000238076
RP11-550C4.6	47697563	47708477			ENSG00000226594
RP11-550C4.4	47720564	47720976			ENSG00000216616
RP1-290I10.5	10474733	10478735			ENSG00000231056
RP11-360O19.4	10511269	10514779			ENSG00000237685
NIP7P3	116458221	116458735			ENSG00000218428
RAB32	146864829	146876101			ENSG00000118508
RP11-360O19.1	10514515	10515206			ENSG00000216359
RP3-486I3.5	116565350	116565891			ENSG00000236326
RP3-486I3.7	116575370	116577906			ENSG00000237021
RP11-360O19.5	10574982	10575460			ENSG00000217181
RP3-486I3.4	116579656	116580278			ENSG00000233558
Y_RNA	10674891	10675001			ENSG00000201048
RNU1-105P	47791126	47791286			ENSG00000200340
RP11-421M1.8	10743557	10747896			ENSG00000272097
HNRNPA3P4	48116939	48117741			ENSG00000226068
RP1-93H18.1	116601362	116691436			ENSG00000240050
RNA5SP203	10753024	10753159			ENSG00000222383
RP11-637O19.2	10882013	10884582			ENSG00000235051
ELOVL2-AS1	11043757	11078459			ENSG00000230314
RP1-93H18.7	116765323	116766023			ENSG00000272403
RBMXP1	48181340	48182530			ENSG00000216835
CBX3P9	116774177	116774728			ENSG00000217241
KRT18P22	116778486	116779832			ENSG00000218153
snoU13	11079248	11079346			ENSG00000238896
RP4-761I2.5	11155162	11155383			ENSG00000271245
Z84488.1	116778895	116778985			ENSG00000265516
RP3-510L9.1	11173685	11259332			ENSG00000247925
RP1-93H18.6	116781902	116784855			ENSG00000244158
AL391538.1	48817560	48817639			ENSG00000221175
RP11-716O23.1	11417583	11481472			ENSG00000233656
RP1-57E3.1	48919707	48920418			ENSG00000271162
RP11-259P20.1	116813460	116818262			ENSG00000234117
RP11-716O23.2	11487459	11515943			ENSG00000242753
RP4-724P12.1	49045349	49045688			ENSG00000218337
RPS29P13	117369833	117370001			ENSG00000217089
RP1-142O9.2	49241241	49241435			ENSG00000217631
RNU1-64P	11503742	11503904			ENSG00000202313
PRKRIRP5	11514425	11516699			ENSG00000218020
RNU7-65P	49312460	49312521			ENSG00000252457
RNA5SP214	117381845	117381962			ENSG00000200248
RN7SKP18	117620527	117620801			ENSG00000251814
EEF1A1P42	49325859	49328093			ENSG00000219374
RN7SKP51	117622618	117622921			ENSG00000222713
RP11-679B17.2	11607785	11608214			ENSG00000271897
DEK	18224099	18265054			ENSG00000124795
RP1-92C8.2	117752754	117753605			ENSG00000219703
SNORA67	11710052	11710193			ENSG00000207419
RP3-413H6.2	11810835	11811481			ENSG00000234427
RP3-420J14.1	11861859	11863203			ENSG00000215124
HSP90AB1	44214824	44221620			ENSG00000096384
AL132671.1	117766553	117766604			ENSG00000221434
RP1-92C8.3	117772293	117774688			ENSG00000226181
RNU6-253P	117778897	117779001			ENSG00000207461
NEPNP	117954869	117966250			ENSG00000218233
RP11-456H18.1	11990576	11992245			ENSG00000225102
CYP2AC1P	49533637	49547879			ENSG00000216998
RP11-632C17__A.1	118320138	118320611			ENSG00000230202
RP11-456H18.2	12007903	12009089			ENSG00000229896
RP11-57K17.1	118773632	118776155			ENSG00000216809
SUMO2P12	12319685	12319824			ENSG00000218893
BRD7P3	118822593	118824069			ENSG00000169075
RN7SKP293	12406718	12407013			ENSG00000223321
SSXP10	118910233	118910797			ENSG00000217330
RPL15P3	12514342	12515006			ENSG00000212802
HSD17B8	33172419	33174608			ENSG00000204228
RP11-210H10__A.1	119078681	119104583			ENSG00000225549
RP11-125M16.1	12583147	12585636			ENSG00000234015
RP11-351A11.1	119255950	119352706			ENSG00000253194
AL354680.1	12753907	12754003			ENSG00000223291
TTBK1	43211418	43255997			ENSG00000146216
RNU1-11P	13214288	13214451			ENSG00000206702
Y_RNA	119379045	119379139			ENSG00000222649
MIR548B	119390212	119390308			ENSG00000207982
RP1-257A7.4	13265093	13295818			ENSG00000215022
RP3-354N19.1	119480462	119480641			ENSG00000220139
RP3-417L20.4	49785143	49788155			ENSG00000235122
ADGB	146920101	147136598			ENSG00000118492
RP11-719J20.1	49791425	49792495			ENSG00000226707
RP3-354N19.3	119590298	119590879			ENSG00000216316
RP1-257A7.5	13290250	13290722			ENSG00000272379
RP11-397G17.1	50061424	50066995			ENSG00000226733
GFOD1-AS1	13486526	13487084			ENSG00000237786
RPS4XP7	13521498	13522277			ENSG00000218265
RNU6-194P	119648446	119648550			ENSG00000200732
RP11-524K22.1	50481748	50488817			ENSG00000233470
MIR3144	120336325	120336403			ENSG00000265725
RNU6-214P	120847440	120847546			ENSG00000206857
RP1-28O17.1	50555320	50604918			ENSG00000230472
RNA5SP215	121007767	121007888			ENSG00000200310
COX6A1P3	121102366	121102658			ENSG00000216710
RN7SKP204	13547936	13548245			ENSG00000202351
RP1-223E5.4	13614343	13615387			ENSG00000261071
RNU7-91P	13680312	13680373			ENSG00000252966
RNU6-1286P	121675500	121675606			ENSG00000206598
AL023583.1	13817713	13817966			ENSG00000233075
Y_RNA	121699943	121700044			ENSG00000207403
RPS17P5	50824968	50825375			ENSG00000060303
RP1-276J11.2	121702618	121703006			ENSG00000220447
RP3-500L14.2	13825663	13826805			ENSG00000272209
MRPL35P1	13949326	13949897			ENSG00000220868
RP3-380E11.2	14005151	14007132			ENSG00000233981
RP1-276J11.3	121710470	121711503			ENSG00000272714
RNU7-133P	14156693	14156754			ENSG00000238987
RNU4-35P	121775127	121775267			ENSG00000199458
RP4-753D5.3	50865328	50865938			ENSG00000216913
RP11-359N11.1	14230006	14231801			ENSG00000230631
RP1-172I22.1	121799419	121801054			ENSG00000219784
LINC01108	14280358	14285376			ENSG00000226673
RP3-448I9.2	14391462	14393519			ENSG00000237346
RNU4-76P	121863632	121863772			ENSG00000201379
FTH1P5	50880425	50880969			ENSG00000230204
RNU2-8P	121901478	121901667			ENSG00000222659
RP3-448I9.1	14394557	14404520			ENSG00000234540
RP11-129H15.1	121962155	121962367			ENSG00000220326
RP11-330A16.1	14597745	14599921			ENSG00000229646
RNU6-793P	14646766	14646869			ENSG00000206960
RP11-146I2.1	14977019	15090234			ENSG00000234261
SLC25A5P7	121974941	121975836			ENSG00000218180
RP1-190J20.2	15103177	15104361			ENSG00000216754
RP3-437C15.2	51250080	51250647			ENSG00000270306
RP11-129H15.3	122001118	122001605			ENSG00000219135
RP3-437C15.1	51274879	51275335			ENSG00000232702
RN7SL332P	15113199	15113450			ENSG00000242989
AL050335.1	15149930	15150030			ENSG00000264687
RP11-129H15.4	122004071	122005418			ENSG00000217139
SNORD66	51329488	51329563			ENSG00000212532
RP11-560J1.2	15244154	15245231			ENSG00000271888
RP11-793K1.1	51401953	51402341			ENSG00000214641
LY6G5C	31644461	31651817			ENSG00000204428
JARID2-AS1	15248046	15248865			ENSG00000235488
RP3-335N17.2	51464521	51487682			ENSG00000228689
RNU6-522P	15315151	15315257			ENSG00000201367
RNU6-645P	15324598	15324703			ENSG00000201519
ARPC3P5	15935013	15935546			ENSG00000214027
HMGB3P18	122179325	122179914			ENSG00000220184
RN7SL580P	51840458	51840755			ENSG00000240641
AL590391.1	51926413	51926504			ENSG00000264206
RP11-401E14.2	15995175	16000028			ENSG00000232947
MIR206	52009147	52009232			ENSG00000207604
RNU1-18P	122532794	122532957			ENSG00000199932
RP1-13D10.5	16107853	16108824			ENSG00000217585
RP11-95G17.2	122964533	122965916			ENSG00000272472
MIR133BHG	52011612	52015917			ENSG00000225613
RN7SL564P	123066419	123066693			ENSG00000240606
ATP5LP2	123180823	123181133			ENSG00000232362
MIR4639	16141787	16141855			ENSG00000263712
MIR133B	52013721	52013839			ENSG00000199080
U3	16148518	16148676			ENSG00000251793
SLC25A20P1	52111258	52112160			ENSG00000218363
RP1-13D10.2	16161157	16161642			ENSG00000218073
RP1-13D10.3	16163608	16163993			ENSG00000217078
RP11-532N4.2	123732857	123792904			ENSG00000235535
MRPL42P2	16171837	16172262			ENSG00000216364
RNU6-1114P	16205245	16205351			ENSG00000251831
TRAM2-AS1	52442105	52448783			ENSG00000225791
Y_RNA	16232462	16232561			ENSG00000207193
AL034375.1	16428675	16428754			ENSG00000265642
RP1-151F17.1	16761369	16762883			ENSG00000229931
AL354936.1	124061579	124061677			ENSG00000216015
RP11-374A22.1	124144385	124150430			ENSG00000237321
RP1-151F17.2	16764577	16767114			ENSG00000272341
RP11-510H23.1	125230239	125284185			ENSG00000236548
RP1-152L7.9	52522171	52522449			ENSG00000270382
RP1-273P12.1	17381598	17382351			ENSG00000219314
RP11-735G4.1	125691357	125695470			ENSG00000226409
RP1-152L7.5	52529946	52533953			ENSG00000216775
RPL7P26	17531130	17531883			ENSG00000184612
RP11-138M12.1	125746773	125766329			ENSG00000228704
UHRF1BP1	34759857	34850915			ENSG00000065060
RP11-624M8.1	125899704	126070336			ENSG00000237742
SUMO2P13	17582265	17582536			ENSG00000218359
RNU6-190P	17619764	17619865			ENSG00000206881
RP11-500C11.3	17706488	17707575			ENSG00000272269
RP1-293L8.2	125995499	126041364			ENSG00000224506
RNA5SP204	17722017	17722134			ENSG00000201415
Y_RNA	17737689	17737790			ENSG00000201442
AL023807.1	17894075	17894300			ENSG00000203518
NCOA7-AS1	126119002	126140004			ENSG00000232131
RP3-525L6.2	17953803	17954161			ENSG00000220920
RN7SKP56	126196314	126196644			ENSG00000222445
RNA5SP216	126300958	126301080			ENSG00000251920
Y_RNA	18273396	18273497			ENSG00000199715
RING1	33176272	33180499			ENSG00000204227
RP11-527F13.1	126498339	126523385			ENSG00000231842
RNU6-263P	18307204	18307310			ENSG00000200681
RP11-528A10.2	18363648	18365654			ENSG00000217414
RP11-528A10.1	18366967	18368875			ENSG00000218976
PPP1R14BP5	126579067	126579501			ENSG00000213133
RP1-152L7.3	52552728	52568623			ENSG00000220377
MIR588	126805777	126805859			ENSG00000207632
RNU6-200P	126911433	126911539			ENSG00000201613
VIMP1	126923502	126924795			ENSG00000220548
snoU13	18402182	18402283			ENSG00000238458
MIR548A1	18572015	18572111			ENSG00000207775
RP11-254A17.1	19143926	19144391			ENSG00000217379
LRP11	150139934	150186199			ENSG00000120256
PRELID1P1	126964634	126965536			ENSG00000217325
RPS4XP9	127004181	127004992			ENSG00000217404
RP11-686D16.1	19290550	19321252			ENSG00000231662
RPL5P20	19348412	19349307			ENSG00000218643
RNA5SP217	127639028	127639118			ENSG00000251768
RNA5SP205	19438514	19438649			ENSG00000201523
OLIG3	137813336	137815531			ENSG00000177468
YWHAZP4	127676901	127677934			ENSG00000213131
RP1-167F1.2	19535175	19839311			ENSG00000226786
KRT18P38	19612986	19614267			ENSG00000214012
PDE7B	136172834	136516712			ENSG00000171408
TBC1D7	13266774	13328815			ENSG00000145979
RPL5P18	127683658	127684548			ENSG00000220744
UQCRFS1P3	19638271	19639039			ENSG00000217314
RNU6-801P	19642656	19642760			ENSG00000200957
RP3-471C18.2	19690056	19753344			ENSG00000237404
RP1-177A13.1	127737680	127738097			ENSG00000220522
TNFAIP3	138188351	138204449			ENSG00000118503
RP3-471C18.1	19730658	19734798			ENSG00000227116
RP1-152L7.8	52553459	52553796			ENSG00000271227
RP3-403A15.1	127756781	127757334			ENSG00000220694
RP4-625H18.2	19802395	19804983			ENSG00000228412
GSTA7P	52604388	52609454			ENSG00000237674
RP11-151M7.1	127954103	127956466			ENSG00000219284
ETV7	36322419	36356164			ENSG00000010030
RP11-325O24.1	127976005	127976423			ENSG00000218187
RP11-325O24.5	127980569	127981483			ENSG00000260212
RP1-130G2.1	20042686	20043171			ENSG00000229700
RP1-152L7.1	52630078	52643145			ENSG00000217228
RP11-325O24.2	127980835	127981724			ENSG00000219699
RP11-239H6.2	20212318	20317970			ENSG00000227803
RN7SL128P	20421812	20422118			ENSG00000240869
AL136303.1	20422549	20422632			ENSG00000252949
E2F3-IT1	20438052	20440409			ENSG00000224707
RNU6-141P	20452600	20452704			ENSG00000222431
Y_RNA	20500406	20500507			ENSG00000201683
RP3-348I23.3	20722559	20723886			ENSG00000225832
RP11-103C16.2	128349031	128406393			ENSG00000227945
RP1-86D1.2	128752086	128753913			ENSG00000228972
RP3-348I23.2	20756334	20800925			ENSG00000233848
RP1-86D1.3	128768543	128770446			ENSG00000182404
RP1-86D1.5	128821672	128822321			ENSG00000224733
RNU6-150P	20993705	20993799			ENSG00000252046
RP1-135L22.1	21354642	21355527			ENSG00000227089
RP1-86D1.4	128826270	128827421			ENSG00000227112
RP11-204E9.1	21522707	21524003			ENSG00000231754
EEF1DP5	128901258	128902029			ENSG00000213130
RP3-322L4.2	21602359	21602614			ENSG00000220771
CASC15	21665003	22214734			ENSG00000272168
GSTA6P	52670411	52678258			ENSG00000223622
Y_RNA	128905535	128905636			ENSG00000206982
snoU13	128934346	128934452			ENSG00000238938
RP1-6P5.2	128960333	128960798			ENSG00000220110
Y_RNA	129082862	129082953			ENSG00000202200
MESTP1	129250140	129251133			ENSG00000220884
RP11-392A23.4	52712708	52735127			ENSG00000230375
RN7SKP240	22085773	22086147			ENSG00000222515
CASC14	22135186	22147422			ENSG00000260455
BMPR1APS1	129478668	129480265			ENSG00000219642
RP11-524C21.1	22213535	22214466			ENSG00000219404
RP11-524C21.2	22221010	22222624			ENSG00000261568
RP3-404K8.2	22260653	22318027			ENSG00000260049
RP1-309H15.2	22589366	22594062			ENSG00000228772
ABHD16A	31654726	31671221			ENSG00000204427
RP1-209A6.1	22744624	23032009			ENSG00000233358
RP11-108N13.1	23102908	23103774			ENSG00000218476
RP11-392A23.5	52737812	52744738			ENSG00000230845
RNU6-1060P	23125209	23125315			ENSG00000207394
RP11-439H9.1	23337939	23346788			ENSG00000235743
RNU6-861P	129758020	129758125			ENSG00000252554
RP1-69D17.3	129800760	129802555			ENSG00000233351
RP4-810F7.1	23649724	23650002			ENSG00000219453
RP1-69D17.4	129847771	129873732			ENSG00000226149
SPTLC1P2	23856926	23857046			ENSG00000218512
