Associated Gene Name	Gene Start (bp)	Gene End (bp)	MIM Morbid Description	MIM Morbid Accession	Ensembl Gene ID
RP11-13P5.1	159107791	159116053			ENSG00000224478
NHLRC1	18121419	18122606	MYOCLONIC EPILEPSY OF LAFORA;;MELF;;LAFORA DISEASE;;LAFORA BODY DISEASE; LBD;;EPILEPSY, PROGRESSIVE MYOCLONIC, 2A; EPM2A;;EPM2EPILEPSY, PROGRESSIVE MYOCLONIC, 2B, INCLUDED; EPM2B, INCLUDED	254780	ENSG00000187566
AL360178.1	135914755	135914847			ENSG00000238921
RP11-239L20.6	27001208	27001648			ENSG00000272312
RNA5SP210	81622200	81622319			ENSG00000212336
LINC00240	26956992	27023924			ENSG00000224843
RNU4-12P	85993021	85993159			ENSG00000202103
RNU4-70P	96649453	96649591			ENSG00000207309
MIR548A1	18571784	18571880			ENSG00000207775
RNU6-626P	56945730	56945836			ENSG00000200224
RNA5SP226	165409562	165409676			ENSG00000199523
RNU1-64P	11503509	11503671			ENSG00000202313
RNU4-35P	121453981	121454121			ENSG00000199458
MIR7853	6169304	6169435			ENSG00000263572
MIR6835	34240673	34240736			ENSG00000276404
LINC00574	169790321	169802873			ENSG00000231690
MIR3691	5148233	5148322			ENSG00000265083
RN7SL564P	122745280	122745529			ENSG00000240606
AL356739.1	145348758	145348849			ENSG00000221796
Z98744.3	27892767	27892904			ENSG00000281851
MIR548AI	99124609	99124696			ENSG00000265226
AL021326.1	113428797	113428886			ENSG00000280723
RNU6-861P	129436875	129436980			ENSG00000252554
RNU6-786P	157934168	157934257			ENSG00000252658
Metazoa_SRP	35911481	35911729			ENSG00000281304
AL138919.1	87847542	87847638			ENSG00000265585
RNU6-957P	110722250	110722348			ENSG00000200522
VN1R12P	27033435	27034310			ENSG00000220581
MIR3918	158764661	158764753			ENSG00000265558
RNY3P11	109305494	109305595			ENSG00000201023
VN1R13P	27060365	27061249			ENSG00000216762
Z98744.1	27837957	27838094			ENSG00000281435
AL391416.1	83367706	83367791			ENSG00000252309
RN7SL332P	15112968	15113221			ENSG00000242989
HCG11	26523450	26526579			ENSG00000228223
RNU4-76P	121542486	121542626			ENSG00000201379
RN7SL173P	158437797	158438088			ENSG00000243373
MIR4643	91521660	91521737			ENSG00000263734
Y_RNA	99642237	99642347			ENSG00000199303
MIR1273C	154853360	154853436			ENSG00000264814
AL357075.1	154503980	154504072			ENSG00000277810
LINC00242	169788790	169798825			ENSG00000229214
Y_RNA	31778817	31778905			ENSG00000201555
RNU6-84P	76557653	76557754			ENSG00000272445
RNU6-1115P	110856417	110856522			ENSG00000199360
AL513547.1	169697248	169697333			ENSG00000265654
TRI-TAT2-3	27631409	27631532			ENSG00000238648
MIR3668	140205252	140205326			ENSG00000263514
RN7SKP51	117301455	117301758			ENSG00000222713
U3	92790453	92790665			ENSG00000221455
AL513548.1	26640702	26640781			ENSG00000281140
MIR6720	1390314	1390411			ENSG00000275859
RNU6-427P	138859027	138859133			ENSG00000206856
SNORA2	149594625	149594759			ENSG00000202343
U4	106271634	106271720			ENSG00000273744
Y_RNA	106454828	106454929			ENSG00000200314
RNU6-130P	82210338	82210440			ENSG00000223044
AL031905.1	38359148	38359229			ENSG00000238716
RPL35P3	105302453	105302823			ENSG00000219902
RNU6-411P	71182612	71182718			ENSG00000207180
MIR4642	44435641	44435722			ENSG00000266619
AMD1	110814621	110895713			ENSG00000123505
AL031768.1	2409536	2409635			ENSG00000266252
AL136303.2	20421686	20421749			ENSG00000281428
RNU6-250P	40407853	40407955			ENSG00000252767
RNU6-302P	150939222	150939328			ENSG00000202119
RNU1-34P	75473738	75473894			ENSG00000201291
RNU1-136P	53219261	53219424			ENSG00000206908
MIR3692	157529132	157529200			ENSG00000266617
PREP	105277565	105403084			ENSG00000085377
AL031320.1	143449603	143449668			ENSG00000278392
Metazoa_SRP	33601007	33601255			ENSG00000281834
RNU6-200P	126590287	126590393			ENSG00000201613
SNORD66	51464690	51464765			ENSG00000212532
MIR4645	2854031	2854107			ENSG00000266750
RNU6-930P	28915645	28915744			ENSG00000212240
MIR30A	71403551	71403621			ENSG00000207827
MIR4462	37555365	37555422			ENSG00000263926
SNORA38	31623079	31623210			ENSG00000200816
MIR877	30584312	30584425			ENSG00000216101
AL031777.2	26198861	26198997			ENSG00000281823
MIR4466	156779678	156779731			ENSG00000271899
RNU6-293P	158926466	158926571			ENSG00000223191
AL035467.1	71538884	71538976			ENSG00000212099
RN7SL617P	110439996	110440303			ENSG00000241162
AL133269.1	152856666	152856744			ENSG00000266595
AL132875.1	79826793	79826885			ENSG00000221470
snoU13	87720915	87721018			ENSG00000238628
RP1-34B20.19	26219045	26219240			ENSG00000277720
MIR588	126484631	126484713			ENSG00000207632
AL109615.1	44013001	44013101			ENSG00000265518
RN7SL334P	25031009	25031287			ENSG00000244618
AL360157.1	81950224	81950338			ENSG00000281694
AL049822.1	27814397	27814537			ENSG00000280826
RNU6-1338P	75593055	75593145			ENSG00000252137
RNU7-66P	66728843	66728904			ENSG00000238949
MIR5685	53276993	53277071			ENSG00000264056
RNU6-1163P	112971493	112971599			ENSG00000201386
AL589736.1	62683176	62683269			ENSG00000264206
SNORD117	31536374	31536449			ENSG00000201785
RN7SL128P	20421583	20421887			ENSG00000240869
MIR219A1	33207835	33207944			ENSG00000199036
Y_RNA	79301963	79302066			ENSG00000201464
RP3-329A5.8	35220370	35224630			ENSG00000272374
SLC44A4	31863192	31879046			ENSG00000204385
AL121932.1	28658234	28658317			ENSG00000265764
AL669914.1	30088821	30088953			ENSG00000252901
RP1-177I10.1	91390313	91393000			ENSG00000224605
AL136446.1	114277385	114277478			ENSG00000221599
AL109947.2	109504387	109504526			ENSG00000253037
SNORD65	67210408	67210480			ENSG00000212229
Y_RNA	137784374	137784486			ENSG00000207300
AL589931.1	158839528	158839618			ENSG00000277772
CASC6	91629915	91690428			ENSG00000224944
RNU6-1023P	54786387	54786492			ENSG00000251946
AL158035.1	111909680	111909767			ENSG00000211983
RNU6-475P	114866873	114866976			ENSG00000251882
RNY4P20	151298841	151298933			ENSG00000252487
RNU1-33P	145463238	145463399			ENSG00000201119
RNU1-105P	47823390	47823550			ENSG00000200340
RNA5SP213	114220681	114220786			ENSG00000212333
SNORA40	110848546	110848673			ENSG00000212587
MIR3939	166997807	166997912			ENSG00000265828
Y_RNA	108060818	108060930			ENSG00000238490
Y_RNA	128761717	128761808			ENSG00000202200
HEBP2	138403531	138422197			ENSG00000051620
VN1R11P	27083280	27084147			ENSG00000219770
AL591610.1	16897425	16897489			ENSG00000221492
RNU6-906P	111008270	111008376			ENSG00000207431
RNU6-391P	24365651	24365754			ENSG00000202050
RNU7-152P	155654963	155655026			ENSG00000238789
Clostridiales-1	60562705	60562788			ENSG00000281441
RN7SKP268	151319635	151319950			ENSG00000223039
RNU6-253P	117457734	117457838			ENSG00000207461
RN7SL509P	96914699	96914995			ENSG00000263479
AL359987.1	92644741	92644808			ENSG00000265419
RN7SKP245	131820334	131820653			ENSG00000200895
RN7SL26P	33540694	33541000			ENSG00000242014
RNA5SP201	3088686	3088809			ENSG00000222248
MIR1913	166509354	166509433			ENSG00000222958
RNU6-437P	107930088	107930182			ENSG00000238420
HIST1H3E	26225155	26225565			ENSG00000274750
AL009031.1	16301693	16301824			ENSG00000281447
Y_RNA	89841329	89841424			ENSG00000199630
AL671883.1	31374318	31374403			ENSG00000265294
AL589947.1	92812045	92812171			ENSG00000238412
AL133405.1	17054585	17054684			ENSG00000277100
RNU6-464P	53153795	53153898			ENSG00000253026
SNORD100	132816802	132816877			ENSG00000221500
RNU6-813P	151615773	151615879			ENSG00000207422
MIR5004	33438331	33438437			ENSG00000264085
MIR7111	35470508	35470579			ENSG00000276712
AL109947.1	109434174	109434240			ENSG00000239160
AL512384.1	25732635	25732774			ENSG00000280964
DEFB114	49960249	49964105			ENSG00000177684
AP000887.1	162500242	162500335			ENSG00000280685
RP1-149M18.3	41381392	41381832			ENSG00000279284
RNU2-8P	121580332	121580521			ENSG00000222659
AL512428.1	24839967	24840065			ENSG00000263391
Y_RNA	41917416	41917526			ENSG00000207371
RN7SL465P	38744086	38744386			ENSG00000244297
HULC	8653558	8653797			ENSG00000276019
RN7SL336P	89090946	89091242			ENSG00000264017
Metazoa_SRP	33562880	33563130			ENSG00000276746
RNU6-1226P	112196440	112196546			ENSG00000207044
U3	75398860	75399067			ENSG00000221332
RN7SL273P	37361185	37361483			ENSG00000239953
MIR133B	52148923	52149041			ENSG00000199080
MIR548H5	131792172	131792231			ENSG00000266807
SNORA48	30132805	30132966			ENSG00000252228
AL662791.1	28977613	28977709			ENSG00000280628
RP1-149M18.4	41405819	41406561			ENSG00000280371
RNU6-653P	109059509	109059614			ENSG00000199944
Y_RNA	17737458	17737556			ENSG00000201442
RNU6-890P	42664162	42664268			ENSG00000206848
RN7SKP256	53415294	53415607			ENSG00000253010
AL590558.1	62983084	62983170			ENSG00000266682
AL080276.1	153052462	153052544			ENSG00000212101
AL137008.1	56432379	56432442			ENSG00000266793
OR2W6P	27937465	27938403			ENSG00000168126
Y_RNA	149631437	149631549			ENSG00000207292
AL356137.1	140660623	140660713			ENSG00000221336
AL357514.1	112532182	112532285			ENSG00000252215
GTF2H5	158168352	158199344	TRICHOTHIODYSTROPHY 1, PHOTOSENSITIVE; TTD1;;TRICHOTHIODYSTROPHY, PHOTOSENSITIVE; TTDP;;ICHTHYOSIFORM ERYTHRODERMA WITH HAIR ABNORMALITY AND MENTAL AND GROWTHRETARDATION;;TAY SYNDROME;;TRICHOTHIODYSTROPHY WITH CONGENITAL ICHTHYOSIS; ICHTHYOSIS, CONG /.../,WITH TRICHOTHIODYSTROPHY;;PIBIDS SYNDROME	601675	ENSG00000272047
RNU6-527P	106607716	106607819			ENSG00000200295
RNU1-11P	13214056	13214219			ENSG00000206702
SNORA20	159780250	159780381			ENSG00000207392
RNU6-960P	111091213	111091332			ENSG00000200926
RN7SL234P	149291352	149291646			ENSG00000241391
Y_RNA	130573996	130574112			ENSG00000202438
Y_RNA	67625356	67625464			ENSG00000206672
AL139042.1	88276125	88276208			ENSG00000281199
LINC01012	27694035	27710222			ENSG00000281706
Y_RNA	75928513	75928625			ENSG00000200040
RNU6-153P	166209403	166209506			ENSG00000201292
AL137006.1	128556485	128556566			ENSG00000273790
MIR4639	16141556	16141624			ENSG00000263712
L3MBTL3	130013699	130141451			ENSG00000198945
SNORA33	132817219	132817348			ENSG00000200534
U8	154905076	154905206			ENSG00000238963
AL031229.1	27666481	27666589			ENSG00000276793
RNA5SP218	134257035	134257143			ENSG00000200058
RNU1-18P	122211648	122211811			ENSG00000199932
AL356131.1	61180832	61180944			ENSG00000221606
RN7SL797P	96282567	96282863			ENSG00000242560
RN7SKP186	30864250	30864552			ENSG00000202241
AL031777.1	26217220	26217357			ENSG00000280547
AL157372.1	34470790	34470929			ENSG00000221635
RNU6-344P	106304176	106304286			ENSG00000252444
MIR4646	31701029	31701091			ENSG00000266776
RNU6-1114P	16205014	16205120			ENSG00000251831
AL513023.1	164539114	164539220			ENSG00000278612
AL033378.1	148524153	148524240			ENSG00000223322
TRI-TAT2-2	27020335	27020447			ENSG00000238621
SIRT5	13574529	13615158			ENSG00000124523
RN7SKP56	125875168	125875498			ENSG00000222445
AL358133.1	69621381	69621472			ENSG00000265362
Clostridiales-1	60562547	60562700			ENSG00000280324
AL354680.1	12753675	12753771			ENSG00000223291
AL158051.1	69214730	69214810			ENSG00000265498
RN7SL811P	44209766	44210063			ENSG00000265439
RNA5SP223	152410275	152410394			ENSG00000202044
Y_RNA	18273165	18273266			ENSG00000199715
RNU6-248P	76092834	76092940			ENSG00000222652
Z97352.1	129747737	129747819			ENSG00000276301
SNORD45	166099853	166099924			ENSG00000276643
RNU6-1222P	148278672	148278778			ENSG00000207345
Y_RNA	47489067	47489170			ENSG00000199762
AC244258.1	60291693	60291774			ENSG00000212065
AL590084.1	25203253	25203340			ENSG00000264238
MIR1202	155946797	155946879			ENSG00000221456
SNORD46	24166273	24166374			ENSG00000251830
RNU6-261P	76446988	76447089			ENSG00000238697
MIR6891	31355224	31355316			ENSG00000277402
AL080285.1	100229545	100229649			ENSG00000275020
MIR6873	33287227	33287289			ENSG00000274694
MIR3934	33698128	33698234			ENSG00000266509
AL513011.1	102828886	102828976			ENSG00000276165
SNORD101	132815307	132815379			ENSG00000206754
RN7SKP110	90001222	90001506			ENSG00000222078
AL591063.1	40392730	40392874			ENSG00000280824
RNA5SP224	153159220	153159345			ENSG00000201939
RNA5SP203	10752791	10752926			ENSG00000222383
Y_RNA	85777639	85777755			ENSG00000200427
MIR7159	33899135	33899200			ENSG00000276824
RNA5SP220	140158591	140158694			ENSG00000252107
AL645941.1	32936916	32937010			ENSG00000212066
AL662801.1	31532757	31532869			ENSG00000276877
AL109922.1	64974393	64974492			ENSG00000221312
AL512290.1	135977811	135977903			ENSG00000222121
snoU13	150164584	150164686			ENSG00000238594
C6orf15	31111223	31112559			ENSG00000204542
Y_RNA	135474504	135474609			ENSG00000201012
5S_rRNA	15522195	15522300			ENSG00000277411
SNORD50B	85677589	85677658			ENSG00000275072
MIR4641	41598723	41598788			ENSG00000266494
SNORD52	31837076	31837142			ENSG00000201754
AL365232.1	73150569	73150650			ENSG00000277026
RN7SKP299	136545192	136545492			ENSG00000271765
RNA5SP215	120686621	120686742			ENSG00000200310
RNA5SP214	117060682	117060799			ENSG00000200248
AL023284.1	136343193	136343249			ENSG00000276943
AL021918.2	27495813	27495929			ENSG00000280950
AL357060.1	137716950	137717079			ENSG00000251969
RNU7-65P	49344800	49344861			ENSG00000252457
AL513123.1	113514987	113515083			ENSG00000222677
RNA5SP212	108252401	108252507			ENSG00000212525
RNU6-190P	17619533	17619634			ENSG00000206881
RN7SKP163	75654970	75655299			ENSG00000200091
AL591034.1	53456442	53456533			ENSG00000216072
RN7SKP106	141486141	141486412			ENSG00000222764
Y_RNA	10674658	10674768			ENSG00000201048
RN7SKP204	13547704	13548013			ENSG00000202351
RNU6-896P	153681447	153681553			ENSG00000199246
RNU6-502P	26519351	26519458			ENSG00000199289
MIR5690	35664717	35664789			ENSG00000265527
RN7SL244P	53090961	53091257			ENSG00000242865
MIR1275	33999972	34000051			ENSG00000221697
SNORD84	31541101	31541178			ENSG00000265236
RNU6-975P	73464073	73464177			ENSG00000207023
RNU6-1299P	107133071	107133170			ENSG00000252125
AL021917.1	26312572	26312685			ENSG00000281724
RNU6-1144P	108292766	108292869			ENSG00000206974
RNU6-214P	120526294	120526400			ENSG00000206857
U3	28015568	28015777			ENSG00000199851
SNORA73	88714242	88714430			ENSG00000222145
SNORD48	31835263	31835326			ENSG00000201823
MIR6833	32179816	32179876			ENSG00000277264
MIR4464	90312742	90312833			ENSG00000266760
RNU6-522P	15314920	15315026			ENSG00000201367
MIR548U	57390132	57390212			ENSG00000212017
RNU6-1133P	31083010	31083109			ENSG00000222895
RNU7-26P	27897504	27897566			ENSG00000238610
AL160037.1	25407895	25407971			ENSG00000253017
AL645922.1	32006168	32007104			ENSG00000279546
RNU6-770P	108392073	108392177			ENSG00000200799
RNU6-754P	46018745	46018851			ENSG00000212468
Y_RNA	121378797	121378898			ENSG00000207403
RN7SKP211	105904373	105904687			ENSG00000200198
RNU6-987P	25383599	25383702			ENSG00000207490
RN7SL221P	5918564	5918844			ENSG00000239472
RNU4-66P	71652474	71652611			ENSG00000202069
AL512385.1	24599052	24599184			ENSG00000280713
AL358852.1	149717621	149718888			ENSG00000278899
RNU4-7P	150326623	150326763			ENSG00000201628
AL133260.1	151039916	151039971			ENSG00000221469
MIR4644	170330761	170330844			ENSG00000266245
RNU6-263P	18306973	18307079			ENSG00000200681
RNU6-897P	104766822	104766926			ENSG00000252944
RNU7-133P	14156462	14156523			ENSG00000238987
AL121952.1	154881282	154881370			ENSG00000223286
Clostridiales-1	26761897	26762029			ENSG00000281452
Z98744.2	27865600	27865738			ENSG00000281512
Metazoa_SRP	11644067	11644343			ENSG00000277473
AL034375.1	16428444	16428523			ENSG00000265642
RNA5SP217	127317883	127317973			ENSG00000251768
RNA5SP219	136630243	136630355			ENSG00000212242
AL121967.1	153223991	153224124			ENSG00000281411
Y_RNA	31402152	31402250			ENSG00000199332
AL138726.1	25846628	25846728			ENSG00000276745
AL591428.1	123058834	123058920			ENSG00000276942
AC002464.1	110440082	110440165			ENSG00000281088
RNU7-3P	149516956	149517017			ENSG00000252244
AL662800.2	30648666	30648759			ENSG00000266183
Y_RNA	38565950	38566055			ENSG00000199938
MIR4282	72967687	72967753			ENSG00000266180
ATP6V1G2	31544462	31548427			ENSG00000213760
RN7SL408P	134133573	134133868			ENSG00000266875
RNA5SP207	41239520	41239626			ENSG00000212176
RNA5SP221	143449809	143449911			ENSG00000223203
AL359709.1	105196853	105196936			ENSG00000252918
SNORA29	159785594	159785733			ENSG00000206910
SNORA8	41832854	41832993			ENSG00000206977
RNU6-300P	151201341	151201444			ENSG00000238616
RN7SKP240	22085544	22085918			ENSG00000222515
Y_RNA	31496689	31496790			ENSG00000201680
RN7SL11P	89478141	89478433			ENSG00000239316
MIR3925	36622436	36622512			ENSG00000263894
AL357519.1	113704833	113704923			ENSG00000221559
TREM2	41158506	41163186	POLYCYSTIC LIPOMEMBRANOUS OSTEODYSPLASIA WITH SCLEROSING LEUKOENCEPHALOPATHY;PLOSL;;NASU-HAKOLA DISEASE; NHD;;PRESENILE DEMENTIA WITH BONE CYSTS;;DEMENTIA, PREFRONTAL, WITH BONE CYSTS;;DEMENTIA, PROGRESSIVE, WITH LIPOMEMBRANOUS POLYCYSTIC OSTEODYSPL /.../BRAIN-BONE-FAT DISEASE	221770	ENSG00000095970
MIR3143	27147626	27147688			ENSG00000265565
AL590731.1	120411495	120411606			ENSG00000276617
RNA5SP225	153420438	153420572			ENSG00000222806
MIR586	45197674	45197770			ENSG00000207769
SNORA70	81764024	81764156			ENSG00000206886
AL137251.1	130434265	130434353			ENSG00000266556
RNU6-1016P	75644084	75644177			ENSG00000252498
MIR4640	30890883	30890972			ENSG00000264594
AL606923.1	68493439	68493526			ENSG00000266675
AL009179.1	27808413	27808553			ENSG00000281258
RN7SL748P	36522191	36522501			ENSG00000239964
AL590684.1	74719746	74719843			ENSG00000264884
MIR4463	75428407	75428473			ENSG00000263533
ZNRD1-AS1_2	30058115	30058190			ENSG00000275856
RN7SL827P	73487590	73487877			ENSG00000271986
SNORD50A	85677294	85677368			ENSG00000281147
Y_RNA	119057880	119057974			ENSG00000222649
RNU6-280P	67546651	67546754			ENSG00000201015
RNU6-155P	75768059	75768158			ENSG00000252156
AL138721.1	35133454	35133538			ENSG00000264241
RNA5SP204	17721786	17721903			ENSG00000201415
SNORA67	11709819	11709960			ENSG00000207419
AL138721.2	35139088	35139192			ENSG00000266330
RN7SL643P	86435848	86436138			ENSG00000243124
AL365214.1	112361848	112361939			ENSG00000266485
HNRNPA1P49	166334568	166335471			ENSG00000233231
RNU1-54P	39620345	39620464			ENSG00000252990
AL157773.1	53664170	53664312			ENSG00000275446
SNORA27	136855698	136855831			ENSG00000201807
RP3-429G5.5	108178871	108179317			ENSG00000279398
AL590874.1	67149509	67149599			ENSG00000266073
SCARNA15	43544144	43544270			ENSG00000252218
RNU6-117P	106738948	106739054			ENSG00000202285
MIR6834	33290245	33290325			ENSG00000275010
AL603766.1	149176707	149176794			ENSG00000263481
RN7SL183P	87845650	87845947			ENSG00000240997
AL121970.1	134715176	134715266			ENSG00000277231
MIR6721	32170030	32170116			ENSG00000278512
Y_RNA	30736304	30736414			ENSG00000201988
RNU6-824P	154825176	154825279			ENSG00000200594
Y_RNA	30932618	30932709			ENSG00000252761
SFT2D1	166319728	166342591			ENSG00000198818
RN7SKP116	47715283	47715601			ENSG00000252711
HLA-P	29800415	29802425			ENSG00000261548
AL109612.1	65467000	65467096			ENSG00000274061
MIR3135B	32749912	32749979			ENSG00000263649
RNU4-72P	85751581	85751753			ENSG00000222686
RN7SL352P	1507322	1507598			ENSG00000243439
AL353135.1	89176543	89176677			ENSG00000281765
Clostridiales-1	57663854	57663967			ENSG00000281746
RNA5SP211	106449381	106449497			ENSG00000202386
MIR4465	140683814	140683883			ENSG00000264390
ZNRD1-AS1_3	30061080	30061183			ENSG00000278773
RNU6ATAC21P	10222036	10222161			ENSG00000221583
RNA5SP216	125979812	125979934			ENSG00000251920
AL021918.1	27545669	27545777			ENSG00000280871
RNU6-801P	19642425	19642529			ENSG00000200957
AL157823.1	35701003	35701138			ENSG00000223063
RN7SL285P	37832922	37833185			ENSG00000243313
MIR548B	119069047	119069143			ENSG00000207982
NR2E1	108166058	108188809			ENSG00000112333
FO393414.1	72538579	72538669			ENSG00000274037
SNORA73	107985659	107985773			ENSG00000253090
HLA-E	30489467	30494205			ENSG00000204592
ZNRD1-AS1_1	30035916	30035983			ENSG00000278104
RNU6-730P	165718235	165718338			ENSG00000206681
MIR206	52144331	52144442			ENSG00000207604
RNU6-603P	32352877	32352983			ENSG00000223335
Y_RNA	7187582	7187686			ENSG00000201483
RN7SKP18	117299364	117299638			ENSG00000251814
RN7SKP209	87083233	87083536			ENSG00000252697
Y_RNA	89898283	89898392			ENSG00000252891
RN7SL353P	30751038	30751289			ENSG00000263608
RNU4ATAC18P	159720415	159720540			ENSG00000251988
RN7SK	52995620	52995950			ENSG00000202198
RNU2-62P	27109790	27109980			ENSG00000222800
AL358134.2	153419021	153419090			ENSG00000281329
RNU6-643P	41302466	41302572			ENSG00000206745
RN7SL415P	91739609	91739897			ENSG00000240961
SNORD28	156378750	156378824			ENSG00000212295
MIR6832	31633787	31633858			ENSG00000274494
RNU6-1060P	23124981	23125087			ENSG00000207394
SNORA18	93879106	93879229			ENSG00000252249
AL033522.1	142183086	142183172			ENSG00000273631
Z85986.1	36510517	36510598			ENSG00000264878
RN7SL366P	163840561	163840852			ENSG00000266128
U7	13680080	13680141			ENSG00000280458
MIR548AJ1	132115192	132115263			ENSG00000265669
AL024509.1	25326110	25326186			ENSG00000277593
Z84488.1	116457732	116457822			ENSG00000265516
AL354933.1	71585089	71585201			ENSG00000211530
AL035697.1	161615066	161615159			ENSG00000221021
RNU6-761P	42018408	42018514			ENSG00000206875
U3	92119423	92119633			ENSG00000200492
RNU6-471P	27596412	27596517			ENSG00000206671
RN7SKP293	12406486	12406781			ENSG00000223321
RNU6-1286P	121354354	121354460			ENSG00000206598
MIR7161	158609707	158609790			ENSG00000278571
RNU6-1247P	151280515	151280612			ENSG00000252431
RNY3P15	34873831	34873927			ENSG00000252106
U3	71126893	71127105			ENSG00000221345
RN7SL403P	43036196	43036500			ENSG00000240625
MIR548A2	135239160	135239256			ENSG00000207689
Y_RNA	16232231	16232330			ENSG00000207193
AL354936.1	123740434	123740532			ENSG00000216015
RNA5SP222	146340420	146340524			ENSG00000222971
Y_RNA	128584390	128584491			ENSG00000206982
AL662797.1	30684796	30684892			ENSG00000277346
MIR1236	31956839	31956940			ENSG00000221267
AL645937.1	29201768	29201834			ENSG00000273960
AL023806.1	145789760	145791832			ENSG00000280184
RNU6-194P	119327281	119327385			ENSG00000200732
RNU6-150P	20993474	20993568			ENSG00000252046
MIR587	106784125	106784220			ENSG00000207577
Y_RNA	29750371	29750472			ENSG00000199290
U91328.1	26124436	26124576			ENSG00000281052
SNORA33	103583135	103583268			ENSG00000202283
RNA5SP206	32078508	32078628			ENSG00000252512
RNA5SP202	4427963	4428081			ENSG00000201185
RNU4-18P	131642818	131642966			ENSG00000252560
SNORA40	35651818	35651945			ENSG00000212579
RNU6-645P	15324367	15324472			ENSG00000201519
SNORD45	38207274	38207345			ENSG00000200706
RN7SL200P	34685355	34685642			ENSG00000265123
RP11-13P5.2	159165899	159170007			ENSG00000233682
SNORA8	38822307	38822404			ENSG00000212586
Y_RNA	134283092	134283193			ENSG00000201309
MIR2113	98024531	98024621			ENSG00000238367
RNU6-283P	31370134	31370240			ENSG00000201658
RNU2-45P	28410270	28410456			ENSG00000251877
RNU2-61P	89063500	89063690			ENSG00000223001
AL450327.1	78909249	78909312			ENSG00000275100
MIR4647	44254206	44254285			ENSG00000265700
Y_RNA	99526097	99526205			ENSG00000274603
AL358134.1	153344113	153344215			ENSG00000264321
AL593844.1	68262189	68262278			ENSG00000278564
RNY4P10	33199601	33199696			ENSG00000202441
RN7SL471P	28977475	28977773			ENSG00000263426
AC019205.1	73263008	73263084			ENSG00000263378
AL121933.1	136855349	136855457			ENSG00000277822
AL590964.1	114778509	114778595			ENSG00000273817
RN7SL554P	6938606	6938897			ENSG00000240936
Y_RNA	20500175	20500276			ENSG00000201683
RNU6-850P	31756951	31757053			ENSG00000252743
AL132671.1	117445390	117445441			ENSG00000281606
MIR6780B	43434542	43434620			ENSG00000276770
RNU1-88P	36639545	36639672			ENSG00000238554
MIR30C2	71376933	71377045			ENSG00000199094
AL136303.1	20422318	20422401			ENSG00000252949
MIR3145	138435213	138435294			ENSG00000266555
Y_RNA	36672838	36672944			ENSG00000251864
AL050335.1	15149699	15149799			ENSG00000264687
Y_RNA	151378000	151378099			ENSG00000252615
AL021807.1	27147375	27147516			ENSG00000280696
RNU7-48P	70513294	70513356			ENSG00000238386
RNU6-444P	87488445	87488552			ENSG00000206715
RNU1-61P	32549940	32550090			ENSG00000251916
AL391559.1	90446772	90446846			ENSG00000252676
RN7SL47P	106283413	106283711			ENSG00000244710
AL121931.1	62726835	62726924			ENSG00000264410
HYMAI	144007227	144007464			ENSG00000276680
AL353602.1	43631501	43631601			ENSG00000275849
Y_RNA	25287432	25287533			ENSG00000207286
